Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
8/11/20,Łukasz Skorupski,Serie A,Matchweek 7,Home,L 0–1,Bologna,Napoli,Y,GK,90,4,1,3,75,0,0.7,0,0,0,0,2,7,28.6,28,7,21.4,31,10,10,17.7,5,1,20,0,12.4
22/11/20,Łukasz Skorupski,Serie A,Matchweek 8,Away,W 2–1,Bologna,Sampdoria,Y,GK,90,4,1,3,75,0,0.3,0,0,0,0,2,10,20,32,4,21.9,31.3,8,37.5,31.6,9,2,22.2,0,12.3
29/11/20,Łukasz Skorupski,Serie A,Matchweek 9,Home,W 1–0,Bologna,Crotone,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,10,20,50,30,5,56.7,40.9,9,33.3,27.3,12,3,25,1,16.6
5/12/20,Łukasz Skorupski,Serie A,Matchweek 10,Away,L 1–3,Bologna,Inter,Y,GK,90,7,3,4,57.1,0,2.7,0,0,0,0,0,6,0,27,10,14.8,26.7,4,50,36,14,2,14.3,0,12.4
16/1/21,Łukasz Skorupski,Serie A,Matchweek 18,Home,W 1–0,Bologna,Hellas Verona,Y,GK,90,1,0,1,100,1,0.3,0,0,0,0,3,9,33.3,15,7,26.7,32.9,12,41.7,27.8,9,2,22.2,1,12.5
24/1/21,Łukasz Skorupski,Serie A,Matchweek 19,Away,L 0–2,Bologna,Juventus,Y,GK,90,11,2,9,81.8,0,3,0,0,0,0,4,6,66.7,16,3,25,29.6,10,20,21.4,7,0,0,0,8
30/1/21,Łukasz Skorupski,Serie A,Matchweek 20,Home,L 1–2,Bologna,Milan,Y,GK,90,8,2,7,87.5,0,3.2,2,1,1,0,2,4,50,25,5,16,25.8,4,0,11,5,0,0,0,13.5
7/2/21,Łukasz Skorupski,Serie A,Matchweek 21,Away,W 3–0,Bologna,Parma,Y,GK,90,5,0,5,100,1,1,0,0,0,0,1,12,8.3,23,7,47.8,38.4,8,12.5,17.6,11,1,9.1,0,10
12/2/21,Łukasz Skorupski,Serie A,Matchweek 22,Home,D 1–1,Bologna,Benevento,Y,GK,90,6,1,5,83.3,0,1.4,0,0,0,0,4,9,44.4,31,8,22.6,26.6,5,40,28.4,6,1,16.7,0,13.4
20/2/21,Łukasz Skorupski,Serie A,Matchweek 23,Away,D 1–1,Bologna,Sassuolo,Y,GK,90,8,1,7,87.5,0,2.4,0,0,0,0,8,27,29.6,26,3,61.5,47.7,14,78.6,52.4,19,1,5.3,0,7.4
27/2/21,Łukasz Skorupski,Serie A,Matchweek 24,Home,W 2–0,Bologna,Lazio,Y,GK,90,6,0,6,100,1,1.9,1,0,1,0,5,17,29.4,31,8,48.4,39.2,10,20,18.2,20,2,10,1,15.7
3/3/21,Łukasz Skorupski,Serie A,Matchweek 25,Away,L 0–1,Bologna,Cagliari,Y,GK,90,3,1,2,66.7,0,1.8,0,0,0,0,2,3,66.7,23,9,13,23.1,4,0,9.3,8,0,0,0,9.1
7/3/21,Łukasz Skorupski,Serie A,Matchweek 26,Away,L 1–3,Bologna,Napoli,Y,GK,90,7,3,4,57.1,0,2.1,0,0,0,0,2,9,22.2,22,7,40.9,32,8,0,6.8,4,0,0,2,21
14/3/21,Łukasz Skorupski,Serie A,Matchweek 27,Home,W 3–1,Bologna,Sampdoria,Y,GK,90,5,1,4,80,0,0.8,0,0,0,0,5,15,33.3,35,10,42.9,39.6,11,0,12,17,0,0,0,8.7
20/3/21,Łukasz Skorupski,Serie A,Matchweek 28,Away,W 3–2,Bologna,Crotone,Y,GK,90,3,2,2,66.7,0,1.2,1,1,0,0,4,11,36.4,24,7,37.5,39.4,7,28.6,21,10,1,10,0,8.2
11/4/21,Łukasz Skorupski,Serie A,Matchweek 30,Away,L 0–1,Bologna,Roma,Y,GK,90,6,1,5,83.3,0,1.1,0,0,0,0,2,8,25,37,6,21.6,25.6,8,0,14.4,4,0,0,2,18.6
18/4/21,Łukasz Skorupski,Serie A,Matchweek 31,Home,W 4–1,Bologna,Spezia,Y,GK,90,4,1,3,75,0,0.8,0,0,0,0,3,13,23.1,34,9,32.4,29.9,8,25,26.6,6,0,0,1,14.7
21/4/21,Łukasz Skorupski,Serie A,Matchweek 32,Home,D 1–1,Bologna,Torino,Y,GK,90,3,1,2,66.7,0,1.1,0,0,0,0,7,15,46.7,18,1,27.8,32.1,16,62.5,39.2,8,0,0,0,9
25/4/21,Łukasz Skorupski,Serie A,Matchweek 33,Away,L 0–5,Bologna,Atalanta,Y,GK,90,8,5,4,50,0,3.5,1,1,0,0,8,19,42.1,37,7,37.8,36.7,12,41.7,35.3,9,2,22.2,0,13.9
2/5/21,Łukasz Skorupski,Serie A,Matchweek 34,Home,D 3–3,Bologna,Fiorentina,Y,GK,90,2,3,0,0,0,2.5,1,1,0,0,2,4,50,11,4,36.4,35.6,6,0,19.7,9,1,11.1,0,13
8/5/21,Łukasz Skorupski,Serie A,Matchweek 35,Away,D 1–1,Bologna,Udinese,Y,GK,90,3,1,2,66.7,0,0.7,0,0,0,0,2,6,33.3,27,10,18.5,29,5,20,25.6,6,1,16.7,0,8.4
30/9/20,Marco Sportiello,Serie A,Matchweek 1,Away,W 4–1,Atalanta,Lazio,Y,GK,90,5,1,4,80,0,1.3,0,0,0,0,4,11,36.4,24,4,29.2,36,4,100,68,10,1,10,1,16.1
26/9/20,Marco Sportiello,Serie A,Matchweek 2,Away,W 4–2,Atalanta,Torino,Y,GK,90,4,2,2,50,0,0.7,0,0,0,0,4,8,50,19,5,21.1,30.4,4,100,63.8,10,1,10,1,20.5
4/10/20,Marco Sportiello,Serie A,Matchweek 3,Home,W 5–2,Atalanta,Cagliari,Y,GK,90,3,2,1,33.3,0,1.7,0,0,0,0,3,5,60,22,3,18.2,30.8,9,11.1,25.4,7,0,0,1,18
17/10/20,Marco Sportiello,Serie A,Matchweek 4,Away,L 1–4,Atalanta,Napoli,Y,GK,90,13,4,9,69.2,0,2.9,0,0,0,0,3,9,33.3,23,13,17.4,25,5,100,66.6,9,2,22.2,0,11.7
24/10/20,Marco Sportiello,Serie A,Matchweek 5,Home,L 1–3,Atalanta,Sampdoria,Y,GK,90,3,3,0,0,0,2.6,1,0,1,0,2,5,40,22,2,18.2,28.4,1,100,77,5,0,0,0,12.3
31/10/20,Marco Sportiello,Serie A,Matchweek 6,Away,W 2–1,Atalanta,Crotone,Y,GK,90,1,1,0,0,0,0.1,0,0,0,0,2,7,28.6,23,5,26.1,32.2,3,33.3,36,2,0,0,1,15.5
8/11/20,Marco Sportiello,Serie A,Matchweek 7,Home,D 1–1,Atalanta,Inter,Y,GK,90,3,1,2,66.7,0,0.5,0,0,0,0,3,9,33.3,14,4,21.4,31.8,8,75,53.5,6,0,0,1,13.6
28/11/20,Marco Sportiello,Serie A,Matchweek 9,Home,L 0–2,Atalanta,Hellas Verona,N,GK,25,1,1,0,0,0,0.8,0,0,0,0,5,7,71.4,17,5,41.2,31.4,3,0,18.7,0,0,,1,18.8
14/2/21,Marco Sportiello,Serie A,Matchweek 22,Away,W 1–0,Atalanta,Cagliari,Y,GK,90,1,0,1,100,1,0,0,0,0,0,2,6,33.3,23,5,21.7,26.5,2,50,51.5,5,0,0,0,16.7
28/2/21,Marco Sportiello,Serie A,Matchweek 24,Away,W 2–0,Atalanta,Sampdoria,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,5,10,50,33,5,18.2,28.4,4,100,56.8,9,1,11.1,2,17.7
3/3/21,Marco Sportiello,Serie A,Matchweek 25,Home,W 5–1,Atalanta,Crotone,Y,GK,90,2,1,1,50,0,1.1,0,0,0,0,3,3,100,26,4,11.5,25.7,1,0,25,4,0,0,1,16.7
8/3/21,Marco Sportiello,Serie A,Matchweek 26,Away,L 0–1,Atalanta,Inter,Y,GK,90,1,1,0,0,0,0.7,0,0,0,0,5,7,71.4,14,3,42.9,32.2,1,100,58,3,1,33.3,0,15.8
12/3/21,Marco Sportiello,Serie A,Matchweek 27,Home,W 3–1,Atalanta,Spezia,Y,GK,90,3,1,2,66.7,0,1.1,0,0,0,0,6,9,66.7,27,3,25.9,29.3,2,100,61,7,0,0,4,24.6
2/5/21,Marco Sportiello,Serie A,Matchweek 34,Away,D 1–1,Atalanta,Sassuolo,N,GK,66,4,1,4,100,0,1,1,1,0,0,2,12,16.7,19,2,47.4,40.6,6,50,47,4,0,0,1,16.6
9/5/21,Marco Sportiello,Serie A,Matchweek 35,Away,W 5–2,Atalanta,Parma,Y,GK,90,2,2,0,0,0,1.3,0,0,0,0,0,1,0,13,6,7.7,24.5,3,0,22.3,7,1,14.3,1,14.4
26/10/20,Ciprian Tătărușanu,Serie A,Matchweek 5,Home,D 3–3,Milan,Roma,Y,GK,90,6,3,4,66.7,0,2.9,1,1,0,0,2,5,40,23,7,13,21.8,4,50,30.8,3,1,33.3,0,8.1
3/4/21,Stefano Turati,Serie A,Matchweek 29,Home,D 2–2,Sassuolo,Roma,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/5/21,Marco Festa,Serie A,Matchweek 37,Away,D 1–1,Crotone,Benevento,Y,GK,90,8,1,7,87.5,0,1.6,0,0,0,0,9,15,60,28,9,35.7,34.4,10,50,37.7,12,1,8.3,1,10.6
30/9/20,Lorenzo Montipò,Serie A,Matchweek 1,Home,L 2–5,Benevento,Inter,Y,GK,90,8,5,3,37.5,0,2.9,0,0,0,0,11,25,44,31,5,67.7,43.9,7,57.1,41.3,7,0,0,1,14.3
26/9/20,Lorenzo Montipò,Serie A,Matchweek 2,Away,W 3–2,Benevento,Sampdoria,Y,GK,90,3,2,1,33.3,0,1.5,0,0,0,0,9,20,45,38,9,44.7,37.2,6,50,37.2,7,0,0,0,5.9
4/10/20,Lorenzo Montipò,Serie A,Matchweek 3,Home,W 1–0,Benevento,Bologna,Y,GK,90,7,0,7,100,1,1.3,0,0,0,0,5,23,21.7,24,4,54.2,40.2,10,100,67.9,8,0,0,0,10
18/10/20,Lorenzo Montipò,Serie A,Matchweek 4,Away,L 2–5,Benevento,Roma,Y,GK,90,6,5,2,33.3,0,4.4,1,1,0,0,10,15,66.7,27,4,33.3,35.4,6,100,55,7,0,0,1,13.3
25/10/20,Lorenzo Montipò,Serie A,Matchweek 5,Home,L 1–2,Benevento,Napoli,Y,GK,90,5,2,3,60,0,1.9,0,0,0,0,15,31,48.4,32,6,62.5,43.7,11,100,59.4,7,1,14.3,0,14.8
2/11/20,Lorenzo Montipò,Serie A,Matchweek 6,Away,L 1–3,Benevento,Hellas Verona,Y,GK,90,6,3,3,50,0,2.7,0,0,0,0,8,24,33.3,34,7,61.8,43.3,6,50,33.2,8,0,0,0,13
7/11/20,Lorenzo Montipò,Serie A,Matchweek 7,Home,L 0–3,Benevento,Spezia,Y,GK,90,6,3,3,50,0,2.2,0,0,0,0,7,18,38.9,35,6,48.6,36.1,8,12.5,22.9,5,1,20,0,13.5
22/11/20,Lorenzo Montipò,Serie A,Matchweek 8,Away,W 1–0,Benevento,Fiorentina,Y,GK,90,2,0,2,100,1,0.4,0,0,0,0,10,16,62.5,28,6,42.9,36,6,66.7,51.8,13,1,7.7,0,15.4
28/11/20,Lorenzo Montipò,Serie A,Matchweek 9,Home,D 1–1,Benevento,Juventus,Y,GK,90,5,1,4,80,0,1.9,0,0,0,0,12,25,48,30,4,66.7,44.8,10,50,38.7,9,1,11.1,0,11.6
6/12/20,Lorenzo Montipò,Serie A,Matchweek 10,Away,D 0–0,Benevento,Parma,Y,GK,90,0,0,0,,1,0,0,0,0,0,7,12,58.3,22,2,50,37.8,11,9.1,20.6,12,0,0,0,14.8
11/12/20,Lorenzo Montipò,Serie A,Matchweek 11,Away,L 0–1,Benevento,Sassuolo,Y,GK,90,1,1,1,100,0,1,1,1,0,0,2,3,66.7,23,8,8.7,27.6,2,50,44.5,3,0,0,3,26.9
15/12/20,Lorenzo Montipò,Serie A,Matchweek 12,Home,D 1–1,Benevento,Lazio,Y,GK,90,2,1,1,50,0,0.3,0,0,0,0,6,13,46.2,29,6,31,31.2,9,44.4,42.2,11,0,0,0,12.3
20/12/20,Lorenzo Montipò,Serie A,Matchweek 13,Home,W 2–0,Benevento,Genoa,Y,GK,90,2,0,2,100,1,0.4,0,0,0,0,5,14,35.7,25,3,48,41.8,2,100,60.5,11,0,0,0,11.5
23/12/20,Lorenzo Montipò,Serie A,Matchweek 14,Away,W 2–0,Benevento,Udinese,Y,GK,90,3,0,3,100,1,1.2,0,0,0,0,13,22,59.1,25,4,64,44.8,10,60,41.5,11,1,9.1,0,17.6
3/1/21,Lorenzo Montipò,Serie A,Matchweek 15,Home,L 0–2,Benevento,Milan,Y,GK,90,1,2,0,0,0,1.5,1,1,0,0,5,9,55.6,17,4,41.2,32.9,7,28.6,26.1,4,0,0,0,13
