Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-05-23,Kiko Casilla,Matchweek 38,Home,W 3–1,Leeds United,West Brom,Y,GK,90,5,1,4,80.0,0,1.7,0,0,0,0,4,5,80.0,18,5,22.2,25.9,8,12.5,18.0,5,0,0.0,0,0
2020-12-06,Caoimhín Kelleher,Matchweek 11,Home,W 4–0,Liverpool,Wolves,Y,GK,90,3,0,3,100.0,1,0.9,0,0,0,0,4,10,40.0,23,3,34.8,34.2,5,40.0,35.0,13,2,15.4,0,17.0
2021-02-03,Caoimhín Kelleher,Matchweek 22,Home,L 0–1,Liverpool,Brighton,Y,GK,90,4,1,3,75.0,0,1.3,0,0,0,0,4,9,44.4,25,7,28.0,34.0,9,22.2,33.0,6,0,0.0,1,19.0
2021-01-01,Darren Randolph,Matchweek 17,Away,W 1–0,West Ham,Everton,Y,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,5,14,35.7,17,2,58.8,45.2,5,80.0,52.0,9,0,0.0,0,12.0
2021-02-27,Darren Randolph,Matchweek 26,Away,L 1–2,West Ham,Manchester City,Y,GK,90,3,2,1,33.3,0,1.0,0,0,0,0,4,11,36.4,13,0,76.9,51.1,6,16.7,24.0,7,0,0.0,1,14.3
2021-05-19,Darren Randolph,Matchweek 37,Away,W 3–1,West Ham,West Brom,Y,GK,90,4,1,3,75.0,0,2.2,0,0,0,0,4,18,22.2,14,3,64.3,46.4,11,81.8,57.4,16,0,0.0,0,8.5
2020-11-01,Robert Sánchez,Matchweek 7,Away,L 1–2,Brighton,Tottenham,Y,GK,90.0,2.0,2.0,1.0,50.0,0.0,1.6,1.0,1.0,0.0,0.0,5.0,16.0,31.3,23.0,2.0,60.9,46.4,5.0,40.0,35.8,3.0,0.0,0.0,0.0,17.0
2020-12-16,Robert Sánchez,Matchweek 13,Away,D 0–0,Brighton,Fulham,Y,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.5,0.0,0.0,0.0,0.0,8.0,24.0,33.3,35.0,4.0,54.3,45.9,6.0,83.3,65.7,1.0,0.0,0.0,0.0,16.8
2020-12-20,Robert Sánchez,Matchweek 14,Home,D 1–1,Brighton,Sheffield Utd,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,1.5,0.0,0.0,0.0,0.0,7.0,14.0,50.0,34.0,8.0,35.3,35.7,6.0,33.3,31.8,6.0,1.0,16.7,0.0,16.3
2020-12-27,Robert Sánchez,Matchweek 15,Away,D 2–2,Brighton,West Ham,Y,GK,90.0,4.0,2.0,2.0,50.0,0.0,2.2,0.0,0.0,0.0,0.0,6.0,21.0,28.6,40.0,5.0,42.5,39.2,7.0,57.1,46.3,18.0,0.0,0.0,0.0,9.0
2020-12-29,Robert Sánchez,Matchweek 16,Home,L 0–1,Brighton,Arsenal,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,1.5,0.0,0.0,0.0,0.0,12.0,22.0,54.5,33.0,7.0,51.5,39.1,8.0,62.5,48.6,6.0,1.0,16.7,2.0,16.7
2021-01-02,Robert Sánchez,Matchweek 17,Home,D 3–3,Brighton,Wolves,Y,GK,90.0,3.0,3.0,2.0,33.3,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,66.7,32.0,4.0,6.3,26.2,4.0,25.0,32.0,4.0,0.0,0.0,0.0,12.5
2021-01-13,Robert Sánchez,Matchweek 18,Away,L 0–1,Brighton,Manchester City,Y,GK,90.0,6.0,1.0,5.0,83.3,0.0,1.1,1.0,0.0,0.0,1.0,6.0,19.0,31.6,28.0,3.0,53.6,39.6,12.0,33.3,32.4,10.0,0.0,0.0,1.0,17.3
2021-01-16,Robert Sánchez,Matchweek 19,Away,W 1–0,Brighton,Leeds United,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.2,0.0,0.0,0.0,0.0,14.0,31.0,45.2,25.0,2.0,80.0,58.1,11.0,100.0,67.1,14.0,1.0,7.1,2.0,17.3
2021-01-27,Robert Sánchez,Matchweek 20,Home,D 0–0,Brighton,Fulham,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.6,0.0,0.0,0.0,0.0,9.0,22.0,40.9,22.0,1.0,72.7,52.9,8.0,75.0,57.3,5.0,0.0,0.0,1.0,18.7
2021-01-31,Robert Sánchez,Matchweek 21,Home,W 1–0,Brighton,Tottenham,Y,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.8,0.0,0.0,0.0,0.0,6.0,18.0,33.3,26.0,4.0,53.8,41.5,4.0,100.0,67.5,7.0,0.0,0.0,0.0,14.0
2021-02-03,Robert Sánchez,Matchweek 22,Away,W 1–0,Brighton,Liverpool,Y,GK,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,44.8,35.0,7.0,71.4,52.7,8.0,50.0,42.1,11.0,0.0,0.0,1.0,16.8
2021-02-06,Robert Sánchez,Matchweek 23,Away,D 1–1,Brighton,Burnley,Y,GK,90.0,7.0,1.0,6.0,85.7,0.0,2.2,0.0,0.0,0.0,0.0,7.0,34.0,20.6,42.0,7.0,54.8,43.3,11.0,100.0,65.0,14.0,3.0,21.4,1.0,11.6
2021-02-13,Robert Sánchez,Matchweek 24,Home,D 0–0,Brighton,Aston Villa,Y,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,40.0,4.0,17.5,29.2,3.0,0.0,18.0,5.0,0.0,0.0,0.0,3.0
