Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-02-07,Rui Patrício,Matchweek 23,Home,D 0–0,Wolves,Leicester City,Y,GK,90,3,0,3,100.0,1,0.1,0,0,0,0,3,10,30.0,13,3,61.5,44.6,5,40.0,34.0,7,0,0.0,0,14.5
2021-02-14,Rui Patrício,Matchweek 24,Away,W 2–1,Wolves,Southampton,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,3,13,23.1,22,2,50.0,39.7,3,66.7,46.3,4,0,0.0,3,15.2
2021-02-19,Rui Patrício,Matchweek 25,Home,W 1–0,Wolves,Leeds United,Y,GK,90,8,0,8,100.0,1,1.7,0,0,0,0,8,21,38.1,22,3,72.7,50.0,8,62.5,42.8,7,0,0.0,0,15.7
2021-02-27,Rui Patrício,Matchweek 26,Away,D 1–1,Wolves,Newcastle Utd,Y,GK,90,6,1,5,83.3,0,0.7,0,0,0,0,7,19,36.8,20,1,65.0,44.9,8,75.0,45.0,7,0,0.0,1,19.3
2021-03-06,Rui Patrício,Matchweek 27,Away,D 0–0,Wolves,Aston Villa,Y,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,8,20,40.0,12,1,91.7,48.9,9,100.0,53.9,14,0,0.0,0,6.5
2021-03-15,Rui Patrício,Matchweek 28,Home,L 0–1,Wolves,Liverpool,Y,GK,89,4,1,3,75.0,0,1.1,0,0,0,0,6,12,50.0,14,3,57.1,40.7,8,50.0,31.5,6,0,0.0,0,10.3
2021-03-02,Rui Patrício,Matchweek 29,Away,L 1–4,Wolves,Manchester City,Y,GK,90,10,4,7,60.0,0,4.4,0,0,0,0,3,13,23.1,16,2,75.0,50.1,7,14.3,17.6,16,1,6.3,0,9.9
2021-04-05,Rui Patrício,Matchweek 30,Home,L 2–3,Wolves,West Ham,Y,GK,90,6,3,2,50.0,0,1.3,0,0,0,0,2,3,66.7,17,5,17.6,28.5,3,0.0,23.3,7,0,0.0,0,5.7
2021-04-09,Rui Patrício,Matchweek 31,Away,W 1–0,Wolves,Fulham,Y,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,2,9,22.2,17,9,23.5,27.2,11,45.5,38.1,18,0,0.0,0,10.3
2021-04-17,Rui Patrício,Matchweek 32,Home,W 1–0,Wolves,Sheffield Utd,Y,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,4,7,57.1,12,5,41.7,43.4,4,50.0,35.5,21,1,4.8,0,7.0
2021-04-25,Rui Patrício,Matchweek 33,Home,L 0–4,Wolves,Burnley,Y,GK,90,7,4,3,42.9,0,3.7,0,0,0,0,5,16,31.3,18,6,55.6,38.7,8,75.0,47.9,10,0,0.0,0,13.0
2021-05-03,Rui Patrício,Matchweek 34,Away,D 1–1,Wolves,West Brom,Y,GK,90,3,1,2,66.7,0,1.3,0,0,0,0,3,12,25.0,16,6,37.5,39.4,9,66.7,51.8,12,2,16.7,1,12.2
2021-05-09,Rui Patrício,Matchweek 35,Home,W 2–1,Wolves,Brighton,Y,GK,90,3,1,2,66.7,0,1.0,0,0,0,0,5,10,50.0,11,3,36.4,35.0,9,66.7,44.0,8,0,0.0,0,10.0
2021-05-16,Rui Patrício,Matchweek 36,Away,L 0–2,Wolves,Tottenham,Y,GK,90,11,2,8,81.8,0,2.8,0,0,0,0,6,14,42.9,14,3,57.1,43.1,8,75.0,55.4,9,0,0.0,0,6.5
2021-05-23,Rui Patrício,Matchweek 38,Home,L 1–2,Wolves,Manchester Utd,Y,GK,90,3,2,2,66.7,0,1.7,1,1,0,0,1,2,50.0,5,3,20.0,23.0,7,14.3,24.0,3,0,0.0,0,11.3
2020-09-12,Alisson,Matchweek 1,Home,W 4–3,Liverpool,Leeds United,Y,GK,90.0,3.0,3.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.0,12.0,16.7,26.0,5.0,34.6,34.7,3.0,100.0,76.3,6.0,0.0,0.0,0.0,15.3
2020-09-20,Alisson,Matchweek 2,Away,W 2–0,Liverpool,Chelsea,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,100.0,22.0,5.0,9.1,24.4,2.0,0.0,26.5,2.0,0.0,0.0,0.0,15.5
2020-09-28,Alisson,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,1.7,0.0,0.0,0.0,0.0,6.0,10.0,60.0,38.0,1.0,23.7,31.3,3.0,33.3,32.3,4.0,0.0,0.0,2.0,23.5
2020-10-24,Alisson,Matchweek 6,Home,W 2–1,Liverpool,Sheffield Utd,Y,GK,90.0,1.0,1.0,1.0,100.0,0.0,0.9,1.0,1.0,0.0,0.0,5.0,14.0,35.7,27.0,1.0,37.0,34.9,8.0,50.0,47.1,9.0,0.0,0.0,0.0,13.0
2020-10-31,Alisson,Matchweek 7,Home,W 2–1,Liverpool,West Ham,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.9,0.0,0.0,0.0,0.0,2.0,6.0,33.3,17.0,5.0,29.4,34.6,3.0,33.3,38.7,9.0,0.0,0.0,1.0,14.7
2020-11-08,Alisson,Matchweek 8,Away,D 1–1,Liverpool,Manchester City,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.7,1.0,0.0,0.0,1.0,7.0,17.0,41.2,40.0,3.0,40.0,34.7,7.0,14.3,19.6,5.0,0.0,0.0,2.0,17.7
2020-11-22,Alisson,Matchweek 9,Home,W 3–0,Liverpool,Leicester City,Y,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.8,0.0,0.0,0.0,0.0,5.0,9.0,55.6,21.0,6.0,23.8,33.3,8.0,50.0,40.4,9.0,0.0,0.0,0.0,14.6
2020-11-28,Alisson,Matchweek 10,Away,D 1–1,Liverpool,Brighton,Y,GK,90.0,2.0,1.0,2.0,100.0,0.0,0.6,2.0,1.0,0.0,1.0,8.0,16.0,50.0,24.0,7.0,41.7,37.0,11.0,54.5,42.8,5.0,1.0,20.0,2.0,19.0
2020-12-13,Alisson,Matchweek 12,Away,D 1–1,Liverpool,Fulham,Y,GK,90.0,5.0,1.0,4.0,80.0,0.0,2.1,0.0,0.0,0.0,0.0,4.0,5.0,80.0,20.0,2.0,20.0,29.3,7.0,14.3,22.3,9.0,0.0,0.0,2.0,22.0
2020-12-16,Alisson,Matchweek 13,Home,W 2–1,Liverpool,Tottenham,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,5.0,20.0,30.3,7.0,14.3,27.3,3.0,0.0,0.0,2.0,18.7
2020-12-19,Alisson,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,Y,GK,90.0,3.0,0.0,3.0,100.0,1.0,0.6,0.0,0.0,0.0,0.0,4.0,7.0,57.1,27.0,5.0,22.2,29.8,3.0,33.3,34.7,3.0,0.0,0.0,1.0,15.2
2020-12-27,Alisson,Matchweek 15,Home,D 1–1,Liverpool,West Brom,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.8,0.0,0.0,0.0,0.0,3.0,6.0,50.0,24.0,6.0,20.8,30.9,4.0,25.0,24.8,8.0,1.0,12.5,1.0,20.0
2020-12-30,Alisson,Matchweek 16,Away,D 0–0,Liverpool,Newcastle Utd,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,2.0,4.0,50.0,21.0,5.0,14.3,27.5,5.0,20.0,35.4,10.0,3.0,30.0,0.0,18.5
2021-01-04,Alisson,Matchweek 17,Away,L 0–1,Liverpool,Southampton,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.8,0.0,0.0,0.0,0.0,6.0,9.0,66.7,36.0,8.0,22.2,28.1,3.0,33.3,39.7,2.0,1.0,50.0,3.0,19.6
2021-01-21,Alisson,Matchweek 18,Home,L 0–1,Liverpool,Burnley,Y,GK,90.0,3.0,1.0,3.0,100.0,0.0,1.7,1.0,1.0,0.0,0.0,3.0,6.0,50.0,40.0,7.0,15.0,28.7,5.0,0.0,19.2,3.0,1.0,33.3,3.0,26.4
2021-01-17,Alisson,Matchweek 19,Home,D 0–0,Liverpool,Manchester Utd,Y,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.8,0.0,0.0,0.0,0.0,4.0,6.0,66.7,35.0,4.0,17.1,32.7,3.0,0.0,22.3,2.0,0.0,0.0,2.0,20.8
2021-01-28,Alisson,Matchweek 20,Away,W 3–1,Liverpool,Tottenham,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.7,0.0,0.0,0.0,0.0,4.0,10.0,40.0,35.0,9.0,25.7,31.2,3.0,33.3,40.7,2.0,0.0,0.0,1.0,18.0
2021-01-31,Alisson,Matchweek 21,Away,W 3–1,Liverpool,West Ham,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,30.0,4.0,10.0,25.2,7.0,42.9,35.3,12.0,1.0,8.3,3.0,25.7
2021-02-07,Alisson,Matchweek 23,Home,L 1–4,Liverpool,Manchester City,Y,GK,90.0,5.0,4.0,1.0,20.0,0.0,2.8,1.0,0.0,0.0,1.0,3.0,6.0,50.0,41.0,0.0,14.6,24.5,3.0,0.0,28.3,6.0,0.0,0.0,0.0,11.0
2021-02-13,Alisson,Matchweek 24,Away,L 1–3,Liverpool,Leicester City,Y,GK,90.0,6.0,3.0,2.0,50.0,0.0,2.3,0.0,0.0,0.0,0.0,3.0,5.0,60.0,27.0,8.0,7.4,28.2,4.0,75.0,44.0,3.0,0.0,0.0,1.0,10.8
2021-02-20,Alisson,Matchweek 25,Home,L 0–2,Liverpool,Everton,Y,GK,90.0,5.0,2.0,4.0,80.0,0.0,2.1,1.0,1.0,0.0,0.0,1.0,4.0,25.0,29.0,2.0,13.8,29.1,4.0,0.0,26.0,4.0,0.0,0.0,2.0,21.7
2021-03-07,Alisson,Matchweek 27,Home,L 0–1,Liverpool,Fulham,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,25.0,5.0,16.0,26.3,8.0,25.0,34.5,7.0,1.0,14.3,5.0,36.9
2021-03-15,Alisson,Matchweek 28,Away,W 1–0,Liverpool,Wolves,Y,GK,90.0,5.0,0.0,5.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,33.3,29.0,5.0,34.5,37.2,3.0,66.7,58.0,15.0,1.0,6.7,1.0,16.8
2021-03-04,Alisson,Matchweek 29,Home,L 0–1,Liverpool,Chelsea,Y,GK,90.0,5.0,1.0,4.0,80.0,0.0,1.3,0.0,0.0,0.0,0.0,2.0,5.0,40.0,38.0,6.0,10.5,27.5,4.0,25.0,42.5,3.0,1.0,33.3,1.0,15.5
2021-04-03,Alisson,Matchweek 30,Away,W 3–0,Liverpool,Arsenal,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.9,0.0,0.0,0.0,0.0,5.0,10.0,50.0,42.0,4.0,21.4,31.7,1.0,100.0,65.0,4.0,1.0,25.0,0.0,7.0
2021-04-10,Alisson,Matchweek 31,Home,W 2–1,Liverpool,Aston Villa,Y,GK,90.0,5.0,1.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,40.0,29.0,5.0,27.6,28.7,11.0,18.2,28.7,4.0,0.0,0.0,3.0,23.4
2021-04-19,Alisson,Matchweek 32,Away,D 1–1,Liverpool,Leeds United,Y,GK,90.0,5.0,1.0,4.0,80.0,0.0,1.3,0.0,0.0,0.0,0.0,7.0,11.0,63.6,25.0,4.0,28.0,30.3,7.0,57.1,44.1,11.0,1.0,9.1,0.0,12.2
2021-04-24,Alisson,Matchweek 33,Home,D 1–1,Liverpool,Newcastle Utd,Y,GK,90.0,4.0,1.0,3.0,75.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,3.0,66.7,31.0,4.0,9.7,23.5,4.0,0.0,22.5,10.0,1.0,10.0,2.0,17.4
2021-05-13,Alisson,Matchweek 34,Away,W 4–2,Liverpool,Manchester Utd,Y,GK,90.0,2.0,2.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,5.0,16.0,31.3,30.0,6.0,33.3,35.3,10.0,60.0,53.3,12.0,0.0,0.0,1.0,13.9
2021-05-08,Alisson,Matchweek 35,Home,W 2–0,Liverpool,Southampton,Y,GK,90.0,5.0,0.0,5.0,100.0,1.0,0.9,0.0,0.0,0.0,0.0,3.0,9.0,33.3,37.0,9.0,24.3,30.5,4.0,0.0,17.0,7.0,1.0,14.3,1.0,12.6
2021-05-16,Alisson,Matchweek 36,Away,W 2–1,Liverpool,West Brom,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,28.0,4.0,17.9,28.4,4.0,25.0,25.5,8.0,2.0,25.0,0.0,7.0
2021-05-19,Alisson,Matchweek 37,Away,W 3–0,Liverpool,Burnley,Y,GK,90.0,3.0,0.0,3.0,100.0,1.0,0.5,0.0,0.0,0.0,0.0,6.0,15.0,40.0,30.0,6.0,36.7,31.5,9.0,44.4,37.4,20.0,5.0,25.0,1.0,9.2
2021-05-23,Alisson,Matchweek 38,Home,W 2–0,Liverpool,Crystal Palace,Y,GK,90.0,4.0,0.0,4.0,100.0,1.0,1.1,0.0,0.0,0.0,0.0,6.0,7.0,85.7,20.0,3.0,30.0,25.2,5.0,20.0,32.0,1.0,0.0,0.0,1.0,18.5
2021-01-12,David de Gea,Matchweek 1,Away,W 1–0,Manchester Utd,Burnley,Y,GK,90,0,0,0,0,1,0.0,0,0,0,0,3,12,25.0,14,5,42.9,37.9,7,85.7,52.4,9,1,11.1,0,7.3
2020-09-19,David de Gea,Matchweek 2,Home,L 1–3,Manchester Utd,Crystal Palace,Y,GK,90,4,3,2,50.0,0,2.3,1,1,0,0,3,5,60.0,20,1,20.0,28.2,4,25.0,29.0,3,0,0.0,2,31.5
2020-09-26,David de Gea,Matchweek 3,Away,W 3–2,Manchester Utd,Brighton,Y,GK,90,3,2,2,66.7,0,2.0,1,1,0,0,1,7,14.3,13,2,23.1,28.1,9,44.4,38.1,14,0,0.0,0,18.0
2020-10-04,David de Gea,Matchweek 4,Home,L 1–6,Manchester Utd,Tottenham,Y,GK,90,7,6,2,28.6,0,5.0,1,1,0,0,5,6,83.3,15,4,13.3,21.5,6,66.7,48.2,5,0,0.0,0,8.0
2020-10-17,David de Gea,Matchweek 5,Away,W 4–1,Manchester Utd,Newcastle Utd,Y,GK,90,4,1,4,75.0,0,1.2,0,0,0,0,2,4,50.0,17,3,23.5,29.6,1,0.0,14.0,8,0,0.0,0,13.0
2020-10-24,David de Gea,Matchweek 6,Home,D 0–0,Manchester Utd,Chelsea,Y,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,3,12,25.0,18,5,50.0,34.6,6,50.0,39.3,9,0,0.0,0,11.8
2020-11-01,David de Gea,Matchweek 7,Home,L 0–1,Manchester Utd,Arsenal,Y,GK,90,1,1,1,100.0,0,0.9,1,1,0,0,1,10,10.0,15,1,53.3,44.9,9,22.2,29.2,9,1,11.1,0,7.5
2020-11-07,David de Gea,Matchweek 8,Away,W 3–1,Manchester Utd,Everton,Y,GK,90,1,1,0,0.0,0,0.4,0,0,0,0,4,11,36.4,12,3,41.7,40.0,10,60.0,45.1,11,0,0.0,0,10.7
2020-11-21,David de Gea,Matchweek 9,Home,W 1–0,Manchester Utd,West Brom,Y,GK,90,2,0,2,100.0,1,1.0,0,0,0,0,4,7,57.1,11,0,36.4,31.0,8,37.5,32.1,2,0,0.0,1,23.0
2020-11-29,David de Gea,Matchweek 10,Away,W 3–2,Manchester Utd,Southampton,Y,GK,45,3,2,1,33.3,0,1.1,0,0,0,0,1,3,33.3,4,1,50.0,42.0,2,50.0,42.0,3,0,0.0,0,23.0
2020-12-12,David de Gea,Matchweek 12,Home,D 0–0,Manchester Utd,Manchester City,Y,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,3,9,33.3,20,2,40.0,33.5,10,10.0,18.2,7,1,14.3,1,13.4
2020-12-20,David de Gea,Matchweek 14,Home,W 6–2,Manchester Utd,Leeds United,Y,GK,90,5,2,2,60.0,0,1.3,0,0,0,0,8,17,47.1,20,5,60.0,40.6,10,50.0,36.9,15,2,13.3,0,10.3
2020-12-26,David de Gea,Matchweek 15,Away,D 2–2,Manchester Utd,Leicester City,Y,GK,90,1,2,0,-100.0,0,0.1,0,0,0,0,3,5,60.0,15,3,26.7,28.7,5,20.0,14.6,13,1,7.7,0,18.0
2020-12-29,David de Gea,Matchweek 16,Home,W 1–0,Manchester Utd,Wolves,Y,GK,90,5,0,5,100.0,1,0.2,0,0,0,0,1,2,50.0,13,5,7.7,23.6,5,20.0,25.6,3,0,0.0,0,12.3
2021-01-01,David de Gea,Matchweek 17,Home,W 2–1,Manchester Utd,Aston Villa,Y,GK,90,5,1,4,80.0,0,1.4,0,0,0,0,3,8,37.5,8,1,25.0,31.3,8,75.0,44.3,12,0,0.0,0,19.0
2021-01-20,David de Gea,Matchweek 18,Away,W 2–1,Manchester Utd,Fulham,Y,GK,90,5,1,4,80.0,0,1.0,0,0,0,0,2,9,22.2,20,6,20.0,27.2,7,71.4,54.0,6,1,16.7,1,18.0
2021-01-17,David de Gea,Matchweek 19,Away,D 0–0,Manchester Utd,Liverpool,Y,GK,90,3,0,3,100.0,1,0.6,0,0,0,0,7,15,46.7,17,5,64.7,48.0,10,40.0,36.7,8,0,0.0,0,6.8
2021-01-27,David de Gea,Matchweek 20,Home,L 1–2,Manchester Utd,Sheffield Utd,Y,GK,90,3,2,1,33.3,0,1.9,0,0,0,0,1,2,50.0,18,2,11.1,24.4,2,0.0,15.0,3,0,0.0,2,25.8
2021-01-30,David de Gea,Matchweek 21,Away,D 0–0,Manchester Utd,Arsenal,Y,GK,90,3,0,3,100.0,1,0.5,0,0,0,0,5,9,55.6,17,3,41.2,36.6,11,18.2,25.1,8,0,0.0,0,9.0
2021-02-02,David de Gea,Matchweek 22,Home,W 9–0,Manchester Utd,Southampton,Y,GK,90,1,0,1,100.0,1,0.2,0,0,0,0,1,1,100.0,8,1,12.5,25.5,3,0.0,34.0,1,0,0.0,0,17.0
2021-02-06,David de Gea,Matchweek 23,Home,D 3–3,Manchester Utd,Everton,Y,GK,90,3,3,0,0.0,0,1.5,0,0,0,0,6,12,50.0,19,3,47.4,35.1,8,37.5,37.1,8,1,12.5,0,14.0
2021-02-14,David de Gea,Matchweek 24,Away,D 1–1,Manchester Utd,West Brom,Y,GK,90,3,1,2,66.7,0,0.8,0,0,0,0,3,4,75.0,14,2,14.3,26.8,8,25.0,31.4,9,0,0.0,2,19.3
2021-02-21,David de Gea,Matchweek 25,Home,W 3–1,Manchester Utd,Newcastle Utd,Y,GK,90,6,1,5,83.3,0,1.4,0,0,0,0,6,14,42.9,25,5,48.0,36.8,5,40.0,39.6,8,0,0.0,0,7.6
2021-02-28,David de Gea,Matchweek 26,Away,D 0–0,Manchester Utd,Chelsea,Y,GK,90,6,0,6,100.0,1,1.4,0,0,0,0,4,8,50.0,19,3,42.1,38.5,10,0.0,14.6,10,1,10.0,0,14.5
2021-05-11,David de Gea,Matchweek 36,Home,L 1–2,Manchester Utd,Leicester City,Y,GK,90,3,2,1,33.3,0,1.6,0,0,0,0,8,16,50.0,32,5,40.6,38.2,6,50.0,43.7,5,0,0.0,0,14.8
2021-05-18,David de Gea,Matchweek 37,Home,D 1–1,Manchester Utd,Fulham,Y,GK,90,5,1,4,80.0,0,1.5,0,0,0,0,6,9,66.7,18,4,38.9,34.3,2,100.0,59.0,6,0,0.0,0,10.0
2020-09-13,Hugo Lloris,Matchweek 1,Home,L 0–1,Tottenham,Everton,Y*,GK,90,5,1,4,80.0,0,0.5,0,0,0,0,4,7,57.1,22,7,22.7,27.7,8,25.0,32.1,8,0,0.0,2,21.5
2020-09-20,Hugo Lloris,Matchweek 2,Away,W 5–2,Tottenham,Southampton,Y*,GK,90,5,2,4,80.0,0,1.8,1,1,0,0,2,7,28.6,17,4,29.4,30.9,9,22.2,27.0,5,0,0.0,1,23.0
2020-09-27,Hugo Lloris,Matchweek 3,Home,D 1–1,Tottenham,Newcastle Utd,Y*,GK,90,0,1,0,0.0,0,0.9,1,1,0,0,2,4,50.0,10,2,40.0,31.6,3,0.0,19.3,7,0,0.0,0,11.0
2020-10-04,Hugo Lloris,Matchweek 4,Away,W 6–1,Tottenham,Manchester Utd,Y*,GK,90,1,1,1,100.0,0,0.4,1,1,0,0,1,7,14.3,20,1,30.0,32.9,4,25.0,24.0,5,0,0.0,0,9.2
2020-10-18,Hugo Lloris,Matchweek 5,Home,D 3–3,Tottenham,West Ham,Y*,GK,90,4,3,2,25.0,0,1.1,0,0,0,0,11,21,52.4,27,3,59.3,44.1,8,62.5,46.0,14,1,7.1,1,13.0
2020-10-26,Hugo Lloris,Matchweek 6,Away,W 1–0,Tottenham,Burnley,Y*,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,6,18,33.3,30,7,46.7,34.8,7,57.1,37.6,6,0,0.0,2,23.5
2020-11-01,Hugo Lloris,Matchweek 7,Home,W 2–1,Tottenham,Brighton,Y*,GK,90,2,1,1,50.0,0,0.8,0,0,0,0,2,9,22.2,21,5,28.6,33.0,5,60.0,45.6,9,0,0.0,0,12.2
2020-11-08,Hugo Lloris,Matchweek 8,Away,W 1–0,Tottenham,West Brom,Y,GK,90,2,0,2,100.0,1,0.5,0,0,0,0,4,17,23.5,20,2,50.0,37.8,9,77.8,48.4,7,1,14.3,0,0.0
2020-11-21,Hugo Lloris,Matchweek 9,Home,W 2–0,Tottenham,Manchester City,Y*,GK,90,5,0,5,100.0,1,0.8,0,0,0,0,9,21,42.9,18,2,72.2,53.8,16,50.0,40.4,11,0,0.0,0,11.7
2020-11-29,Hugo Lloris,Matchweek 10,Away,D 0–0,Tottenham,Chelsea,Y*,GK,90,3,0,3,100.0,1,0.4,0,0,0,0,6,12,50.0,26,7,42.3,31.5,11,9.1,18.6,20,1,5.0,0,10.2
2020-12-06,Hugo Lloris,Matchweek 11,Home,W 2–0,Tottenham,Arsenal,Y*,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,5,18,27.8,14,0,85.7,52.1,12,50.0,43.8,27,0,0.0,0,0.0
2020-12-13,Hugo Lloris,Matchweek 12,Away,D 1–1,Tottenham,Crystal Palace,Y*,GK,90,5,1,4,80.0,0,1.1,0,0,0,0,4,8,50.0,13,7,38.5,36.4,7,42.9,30.9,8,0,0.0,1,10.5
2020-12-16,Hugo Lloris,Matchweek 13,Away,L 1–2,Tottenham,Liverpool,Y*,GK,90,11,2,9,81.8,0,4.2,0,0,0,0,10,20,50.0,23,8,73.9,50.7,5,60.0,44.0,16,1,6.3,0,9.0
2020-12-20,Hugo Lloris,Matchweek 14,Home,L 0–2,Tottenham,Leicester City,Y*,GK,90,3,2,3,66.7,0,1.4,1,1,0,0,3,9,33.3,15,3,53.3,37.3,6,16.7,28.3,5,0,0.0,0,12.5
2020-12-27,Hugo Lloris,Matchweek 15,Away,D 1–1,Tottenham,Wolves,Y*,GK,90,6,1,5,83.3,0,1.7,0,0,0,0,8,20,40.0,22,1,77.3,48.4,4,75.0,41.3,17,1,5.9,0,8.4
2021-01-13,Hugo Lloris,Matchweek 16,Home,D 1–1,Tottenham,Fulham,Y*,GK,90,4,1,3,75.0,0,1.4,0,0,0,0,4,13,30.8,17,0,64.7,44.9,7,28.6,33.4,10,0,0.0,0,4.3
2021-01-02,Hugo Lloris,Matchweek 17,Home,W 3–0,Tottenham,Leeds United,Y*,GK,90,5,0,5,100.0,1,0.8,0,0,0,0,6,13,46.2,11,1,72.7,49.2,10,50.0,40.4,10,1,10.0,0,18.5
2021-03-21,Hugo Lloris,Matchweek 18,Away,W 2–0,Tottenham,Aston Villa,Y*,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,7,15,46.7,21,5,52.4,41.8,4,100.0,60.8,14,2,14.3,0,15.0
2021-01-17,Hugo Lloris,Matchweek 19,Away,W 3–1,Tottenham,Sheffield Utd,Y*,GK,90,5,1,4,80.0,0,0.6,0,0,0,0,12,18,66.7,37,8,40.5,35.0,5,60.0,46.2,9,1,11.1,0,16.8
2021-01-28,Hugo Lloris,Matchweek 20,Home,L 1–3,Tottenham,Liverpool,Y*,GK,90,7,3,4,57.1,0,3.0,0,0,0,0,5,13,38.5,23,5,47.8,39.4,7,28.6,30.3,7,1,14.3,1,14.2
2021-01-31,Hugo Lloris,Matchweek 21,Away,L 0–1,Tottenham,Brighton,Y*,GK,90,2,1,1,50.0,0,0.7,0,0,0,0,3,11,27.3,19,5,52.6,39.9,10,10.0,23.2,13,0,0.0,1,12.7
2021-02-04,Hugo Lloris,Matchweek 22,Home,L 0–1,Tottenham,Chelsea,Y*,GK,90,1,1,1,100.0,0,0.9,1,1,0,0,7,15,46.7,24,5,50.0,37.2,9,33.3,29.6,6,0,0.0,0,12.4
2021-02-07,Hugo Lloris,Matchweek 23,Home,W 2–0,Tottenham,West Brom,Y*,GK,90,1,0,1,100.0,1,0.4,0,0,0,0,0,6,0.0,13,2,30.8,29.4,5,40.0,38.4,7,1,14.3,0,20.0
2021-02-13,Hugo Lloris,Matchweek 24,Away,L 0–3,Tottenham,Manchester City,Y*,GK,90,5,3,3,60.0,0,3.1,1,1,0,0,7,11,63.6,16,4,50.0,36.1,6,50.0,34.5,6,0,0.0,0,10.7
2021-02-21,Hugo Lloris,Matchweek 25,Away,L 1–2,Tottenham,West Ham,Y*,GK,90,4,2,2,50.0,0,1.9,0,0,0,0,7,12,58.3,20,3,50.0,36.9,9,22.2,27.0,4,0,0.0,0,10.0
2021-02-28,Hugo Lloris,Matchweek 26,Home,W 4–0,Tottenham,Burnley,Y*,GK,90,3,0,3,100.0,1,0.3,0,0,0,0,8,18,44.4,25,4,64.0,39.9,5,40.0,31.6,11,0,0.0,0,13.0
2021-03-07,Hugo Lloris,Matchweek 27,Home,W 4–1,Tottenham,Crystal Palace,Y*,GK,90,1,1,0,0.0,0,0.6,0,0,0,0,1,2,50.0,16,5,6.3,21.8,2,50.0,44.0,7,1,14.3,0,13.0
2021-03-14,Hugo Lloris,Matchweek 28,Away,L 1–2,Tottenham,Arsenal,Y*,GK,90,2,2,1,50.0,0,1.1,1,1,0,0,9,19,47.4,33,6,45.5,39.0,6,66.7,47.3,14,1,7.1,2,18.2
2021-04-21,Hugo Lloris,Matchweek 29,Home,W 2–1,Tottenham,Southampton,Y*,GK,90,5,1,4,80.0,0,1.5,0,0,0,0,1,6,16.7,22,6,27.3,31.9,1,0.0,19.0,6,0,0.0,0,10.3
2021-04-04,Hugo Lloris,Matchweek 30,Away,D 2–2,Tottenham,Newcastle Utd,Y*,GK,90,6,2,3,66.7,0,2.5,0,0,0,0,6,13,46.2,23,7,34.8,33.3,6,83.3,53.3,16,2,12.5,2,17.3
2021-04-11,Hugo Lloris,Matchweek 31,Home,L 1–3,Tottenham,Manchester Utd,Y*,GK,90,7,3,4,57.1,0,2.2,0,0,0,0,6,13,46.2,18,6,61.1,42.8,4,50.0,39.0,11,1,9.1,0,14.2
2021-04-16,Hugo Lloris,Matchweek 32,Away,D 2–2,Tottenham,Everton,Y*,GK,90,6,2,5,83.3,0,1.8,1,1,0,0,6,18,33.3,26,4,42.3,36.3,11,63.6,48.2,4,2,50.0,1,15.7
