Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
2020-10-17,Paul Nardi,Matchweek 7,Away,W 3–1,Lorient,Reims,Y,GK,90,3,1,2,.667,0,0.6,0,0,0,0,6,20,30.0,23,3,69.6,43.8,5,80.0,51.2,8,0,0.0,2,14.2
2020-10-24,Paul Nardi,Matchweek 8,Home,L 0–1,Lorient,Marseille,Y,GK,90,3,1,2,.667,0,0.7,0,0,0,0,6,17,35.3,15,6,53.3,41.3,12,75.0,61.6,1,0,0.0,0,13.8
2020-11-01,Paul Nardi,Matchweek 9,Away,D 0–0,Lorient,Dijon,Y,GK,90,2,0,2,1.000,1,0.6,0,0,0,0,4,12,33.3,15,3,46.7,39.5,8,62.5,51.4,5,0,0.0,1,34.0
2020-11-08,Paul Nardi,Matchweek 10,Home,L 0–2,Lorient,Nantes,Y,GK,90,4,2,2,.500,0,1.9,0,0,0,0,8,23,34.8,20,4,70.0,49.3,9,100.0,70.8,5,1,20.0,0,15.0
2020-11-22,Paul Nardi,Matchweek 11,Away,L 0–4,Lorient,Lille,Y,GK,90,13,4,9,.692,0,3.1,0,0,0,0,3,21,14.3,25,8,52.0,43.2,11,72.7,57.8,11,0,0.0,0,14.8
2020-11-29,Paul Nardi,Matchweek 12,Home,L 0–1,Lorient,Montpellier,Y,GK,90,3,1,2,.667,0,0.7,1,0,0,1,7,20,35.0,23,2,52.2,44.6,9,88.9,67.3,10,0,0.0,1,27.0
2020-12-06,Paul Nardi,Matchweek 13,Away,L 0–2,Lorient,Angers,Y,GK,90,4,2,2,.500,0,1.1,0,0,0,0,4,13,30.8,18,3,38.9,36.7,7,85.7,60.3,6,0,0.0,3,18.8
2020-12-13,Paul Nardi,Matchweek 14,Home,W 3–0,Lorient,Nîmes,Y,GK,90,2,1,2,.500,1,0.1,0,0,0,0,5,17,29.4,19,5,47.4,40.1,8,100.0,69.4,13,1,7.7,1,17.4
2020-12-16,Paul Nardi,Matchweek 15,Away,L 0–2,Lorient,Paris S-G,Y,GK,90,7,2,6,.857,0,1.5,1,1,0,0,5,23,21.7,21,3,61.9,51.5,10,100.0,70.2,10,0,0.0,0,11.0
2020-12-20,Paul Nardi,Matchweek 16,Home,L 0–3,Lorient,Rennes,Y,GK,90,4,3,1,.250,0,2.6,0,0,0,0,11,17,64.7,30,3,46.7,36.7,6,50.0,36.5,8,1,12.5,1,17.5
2020-12-23,Paul Nardi,Matchweek 17,Away,D 2–2,Lorient,Nice,Y,GK,90,3,2,1,.333,0,1.3,0,0,0,0,2,6,33.3,17,5,29.4,35.5,1,100.0,94.0,4,0,0.0,1,29.3
2021-01-06,Paul Nardi,Matchweek 18,Home,L 2–5,Lorient,Monaco,Y,GK,90,9,5,4,.444,0,2.8,0,0,0,0,2,3,66.7,17,9,5.9,21.2,3,66.7,50.0,10,0,0.0,0,9.8
2020-08-23,Benjamin Lecomte,Matchweek 1,Home,D 2–2,Monaco,Reims,Y,GK,90.0,3.0,2.0,1.0,0.33299999999999996,0.0,1.5,0.0,0.0,0.0,0.0,4.0,6.0,66.7,26.0,6.0,23.1,26.5,9.0,0.0,21.9,2.0,0.0,0.0,5.0,18.0
2020-08-30,Benjamin Lecomte,Matchweek 2,Away,W 1–0,Monaco,Metz,Y,GK,90.0,4.0,0.0,4.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,9.0,24.0,37.5,26.0,2.0,57.7,45.2,11.0,81.8,63.3,13.0,0.0,0.0,0.0,10.3
