Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
2020-11-29,Rubén Blanco,Matchweek 11,Home,W 3–1,Celta Vigo,Granada,Y,GK,90,2,1,1,0.5,0,0.9,0,0,0,0,7,16,43.8,24,5,41.7,34.7,7,85.7,53.0,2,0,0.0,0,16.3
2020-12-04,Rubén Blanco,Matchweek 12,Away,W 2–0,Celta Vigo,Athletic Club,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,4,22,18.2,23,4,47.8,38.6,14,78.6,52.4,8,0,0.0,0,18.0
2020-12-14,Rubén Blanco,Matchweek 13,Home,W 4–0,Celta Vigo,Cádiz,Y,GK,90,2,0,2,1.0,1,0.6,0,0,0,0,4,19,21.1,37,7,32.4,35.9,8,87.5,56.8,14,1,7.1,1,12.0
2020-12-20,Rubén Blanco,Matchweek 14,Home,W 2–0,Celta Vigo,Alavés,Y,GK,90,2,0,2,1.0,1,0.3,0,0,0,0,4,24,16.7,35,2,57.1,46.1,8,50.0,37.0,6,1,16.7,2,18.8
2020-12-23,Rubén Blanco,Matchweek 15,Away,D 1–1,Celta Vigo,Getafe,Y,GK,90,3,1,2,0.667,0,0.7,0,0,0,0,4,14,28.6,35,9,20.0,29.2,7,100.0,67.9,5,0,0.0,0,13.3
2020-12-30,Rubén Blanco,Matchweek 16,Home,W 2–1,Celta Vigo,Huesca,Y,GK,90,6,1,5,0.833,0,1.7,0,0,0,0,8,14,57.1,31,3,35.5,34.1,5,60.0,45.4,11,2,18.2,0,17.7
2021-01-02,Rubén Blanco,Matchweek 17,Away,L 0–2,Celta Vigo,Real Madrid,Y,GK,90,2,2,0,0.0,0,1.1,0,0,0,0,7,16,43.8,31,2,41.9,35.4,8,37.5,30.8,5,1,20.0,0,10.0
2021-01-08,Rubén Blanco,Matchweek 18,Home,L 0–4,Celta Vigo,Villarreal,Y,GK,90,6,4,2,0.33299999999999996,0,2.4,0,0,0,0,3,9,33.3,26,5,19.2,28.9,6,66.7,45.0,8,0,0.0,2,17.0
2021-01-20,Rubén Blanco,Matchweek 19,Away,L 1–2,Celta Vigo,Betis,Y,GK,90,4,2,2,0.5,0,2.5,0,0,0,0,2,9,22.2,36,2,22.2,27.6,8,12.5,19.1,6,0,0.0,0,17.0
2021-01-24,Rubén Blanco,Matchweek 20,Home,D 1–1,Celta Vigo,Eibar,Y,GK,90,2,1,1,0.5,0,0.9,0,0,0,0,16,32,50.0,39,3,69.2,46.1,7,71.4,53.1,9,1,11.1,0,11.3
2021-01-31,Rubén Blanco,Matchweek 21,Away,D 0–0,Celta Vigo,Granada,Y,GK,90,5,0,5,1.0,1,0.4,0,0,0,0,11,21,52.4,28,2,42.9,39.8,10,90.0,61.2,3,0,0.0,0,11.3
2021-02-08,Rubén Blanco,Matchweek 22,Away,D 2–2,Celta Vigo,Atlético Madrid,Y,GK,90,2,2,0,0.0,0,0.7,0,0,0,0,5,13,38.5,24,8,37.5,33.1,9,44.4,45.3,6,0,0.0,0,11.7
2020-09-13,Fernando Pacheco,Matchweek 1,Home,L 0–1,Alavés,Betis,Y*,GK,90,4,1,3,0.75,0,0.4,0,0,0,0,6,12,50.0,24,6,45.8,39.7,6,16.7,27.3,5,0,0.0,0,15.0
2020-09-20,Fernando Pacheco,Matchweek 2,Away,L 1–2,Alavés,Granada,Y*,GK,90,3,2,1,0.33299999999999996,0,1.7,0,0,0,0,6,19,31.6,14,2,78.6,50.4,10,80.0,54.1,10,1,10.0,1,14.0
2020-09-26,Fernando Pacheco,Matchweek 3,Home,D 0–0,Alavés,Getafe,Y*,GK,90,4,0,4,1.0,1,0.5,0,0,0,0,20,28,71.4,23,1,91.3,57.3,7,100.0,63.7,12,1,8.3,2,20.3
2020-09-30,Fernando Pacheco,Matchweek 4,Away,L 1–3,Alavés,Villarreal,Y*,GK,90,5,3,3,0.6,0,2.8,1,1,0,0,10,19,52.6,29,5,55.2,39.2,5,60.0,46.8,12,1,8.3,0,9.8
2020-10-04,Fernando Pacheco,Matchweek 5,Home,W 1–0,Alavés,Athletic Club,Y*,GK,90,1,0,1,1.0,1,0.2,0,0,0,0,8,17,47.1,17,1,64.7,46.5,9,66.7,46.9,9,2,22.2,1,15.2
2020-10-18,Fernando Pacheco,Matchweek 6,Home,L 0–2,Alavés,Elche,Y*,GK,90,3,2,1,0.33299999999999996,0,1.1,0,0,0,0,6,13,46.2,26,4,50.0,41.0,2,0.0,24.5,5,1,20.0,3,26.0
2020-10-25,Fernando Pacheco,Matchweek 7,Away,W 2–0,Alavés,Valladolid,Y*,GK,90,1,0,1,1.0,1,0.4,0,0,0,0,10,11,90.9,14,3,42.9,39.1,7,71.4,39.0,5,0,0.0,1,13.6
2020-10-31,Fernando Pacheco,Matchweek 8,Home,D 1–1,Alavés,Barcelona,Y*,GK,90,8,1,7,0.875,0,1.4,0,0,0,0,8,17,47.1,12,1,83.3,58.3,13,53.8,41.4,5,1,20.0,0,11.5
2020-11-08,Fernando Pacheco,Matchweek 9,Away,D 1–1,Alavés,Levante,Y*,GK,90,5,1,4,0.8,0,1.1,0,0,0,0,22,36,61.1,27,3,85.2,55.8,13,100.0,65.2,22,2,9.1,0,10.9
2020-11-22,Fernando Pacheco,Matchweek 10,Home,D 2–2,Alavés,Valencia,Y*,GK,90,5,2,3,0.6,0,2.3,0,0,0,0,7,23,30.4,17,0,82.4,57.0,10,90.0,58.7,9,2,22.2,0,13.2
2020-11-28,Fernando Pacheco,Matchweek 11,Away,W 2–1,Alavés,Real Madrid,Y*,GK,90,8,1,7,0.875,0,2.3,0,0,0,0,12,23,52.2,23,4,60.9,45.1,16,56.3,42.8,18,2,11.1,0,9.0
2020-12-06,Fernando Pacheco,Matchweek 12,Home,D 0–0,Alavés,Real Sociedad,Y*,GK,90,4,0,4,1.0,1,1.4,0,0,0,0,18,29,62.1,24,0,79.2,50.0,11,90.9,62.5,14,1,7.1,0,9.0
2020-12-12,Fernando Pacheco,Matchweek 13,Away,L 0–1,Alavés,Huesca,Y*,GK,90,3,1,2,0.667,0,0.7,0,0,0,0,8,20,40.0,18,1,77.8,51.8,12,50.0,44.1,11,1,9.1,0,10.3
2020-12-20,Fernando Pacheco,Matchweek 14,Away,L 0–2,Alavés,Celta Vigo,Y*,GK,90,4,2,2,0.5,0,1.7,0,0,0,0,9,16,56.3,29,2,41.4,37.1,6,66.7,48.3,3,0,0.0,1,18.3
2020-12-23,Fernando Pacheco,Matchweek 15,Home,W 2–1,Alavés,Eibar,Y*,GK,90,4,1,3,0.75,0,0.3,0,0,0,0,16,25,64.0,24,3,79.2,51.9,10,60.0,51.8,5,0,0.0,2,17.1
2020-12-31,Fernando Pacheco,Matchweek 16,Away,D 1–1,Alavés,Osasuna,Y,GK,90,2,1,1,0.5,0,0.1,0,0,0,0,5,11,45.5,17,3,47.1,42.9,8,37.5,38.5,5,0,0.0,1,18.5
2021-01-03,Fernando Pacheco,Matchweek 17,Home,L 1–2,Alavés,Atlético Madrid,Y,GK,90,4,2,2,0.5,0,2.2,0,0,0,0,6,18,33.3,26,4,57.7,43.5,10,30.0,30.2,6,0,0.0,0,13.8
2021-01-10,Fernando Pacheco,Matchweek 18,Away,L 1–3,Alavés,Cádiz,Y*,GK,90,7,3,4,0.5710000000000001,0,3.0,0,0,0,0,6,11,54.5,21,6,38.1,37.1,3,100.0,63.3,11,1,9.1,2,14.7
2021-01-19,Fernando Pacheco,Matchweek 19,Home,L 1–2,Alavés,Sevilla,Y*,GK,90,3,2,1,0.33299999999999996,0,1.3,0,0,0,0,6,14,42.9,22,2,59.1,45.4,2,50.0,36.0,5,0,0.0,1,20.3
2021-01-23,Fernando Pacheco,Matchweek 20,Home,L 1–4,Alavés,Real Madrid,Y*,GK,90,6,4,2,0.33299999999999996,0,3.1,0,0,0,0,2,6,33.3,18,8,16.7,27.8,9,33.3,33.6,6,0,0.0,0,12.7
2021-01-31,Fernando Pacheco,Matchweek 21,Away,D 0–0,Alavés,Getafe,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,13,25,52.0,21,3,85.7,61.1,7,100.0,69.9,15,1,6.7,2,14.9
2021-02-05,Fernando Pacheco,Matchweek 22,Home,W 1–0,Alavés,Valladolid,Y,GK,90,1,0,1,1.0,1,0.1,0,0,0,0,6,9,66.7,15,0,46.7,44.7,6,33.3,39.2,5,1,20.0,0,14.0
2020-09-13,Sergio Asenjo,Matchweek 1,Home,D 1–1,Villarreal,Huesca,Y,GK,90,3,1,2,0.667,0,0.7,0,0,0,0,7,12,58.3,24,5,41.7,36.8,8,25.0,28.1,6,1,16.7,1,22.3
2020-09-19,Sergio Asenjo,Matchweek 2,Home,W 2–1,Villarreal,Eibar,Y,GK,90,4,1,3,0.75,0,0.7,0,0,0,0,7,21,33.3,31,4,54.8,43.5,10,40.0,40.0,14,2,14.3,1,13.0
2020-09-27,Sergio Asenjo,Matchweek 3,Away,L 0–4,Villarreal,Barcelona,Y,GK,90,8,4,6,0.625,0,3.0,1,1,0,0,6,10,60.0,24,7,29.2,29.7,7,42.9,34.3,4,0,0.0,0,8.0
2020-09-30,Sergio Asenjo,Matchweek 4,Home,W 3–1,Villarreal,Alavés,Y,GK,90,3,1,2,0.667,0,1.2,0,0,0,0,8,19,42.1,35,5,28.6,36.5,10,90.0,63.4,12,3,25.0,1,17.0
2020-10-03,Sergio Asenjo,Matchweek 5,Away,D 0–0,Villarreal,Atlético Madrid,Y,GK,90,1,0,1,1.0,1,0.0,0,0,0,0,10,20,50.0,36,7,44.4,43.9,8,50.0,38.3,15,2,13.3,1,11.4
2020-10-18,Sergio Asenjo,Matchweek 6,Home,W 2–1,Villarreal,Valencia,Y,GK,90,3,1,2,0.667,0,0.4,0,0,0,0,6,12,50.0,20,7,35.0,36.1,10,50.0,46.1,11,1,9.1,0,16.0
2020-10-25,Sergio Asenjo,Matchweek 7,Away,D 0–0,Villarreal,Cádiz,Y,GK,90,1,1,1,0.0,1,0.2,0,0,0,0,1,1,100.0,23,8,0.0,21.0,6,16.7,25.0,10,0,0.0,1,12.0
2020-11-02,Sergio Asenjo,Matchweek 8,Home,W 2–0,Villarreal,Valladolid,Y,GK,90,1,0,1,1.0,1,0.5,0,0,0,0,7,14,50.0,28,4,28.6,32.9,8,75.0,54.8,27,4,14.8,0,9.0
2020-11-08,Sergio Asenjo,Matchweek 9,Away,W 3–1,Villarreal,Getafe,Y,GK,90,4,1,3,0.75,0,0.7,0,0,0,0,12,17,70.6,36,12,38.9,38.1,8,37.5,36.1,19,3,15.8,0,10.3
2020-11-21,Sergio Asenjo,Matchweek 10,Home,D 1–1,Villarreal,Real Madrid,Y,GK,90,1,1,0,0.0,0,0.2,0,0,0,0,4,6,66.7,25,3,20.0,28.3,1,100.0,65.0,6,2,33.3,0,9.5
2020-11-29,Sergio Asenjo,Matchweek 11,Away,D 1–1,Villarreal,Real Sociedad,Y,GK,90,3,1,3,1.0,0,1.4,1,1,0,0,1,15,6.7,29,7,48.3,39.8,1,100.0,75.0,10,1,10.0,0,11.0
2020-12-06,Sergio Asenjo,Matchweek 12,Home,D 0–0,Villarreal,Elche,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,1,2,50.0,18,4,11.1,23.6,5,0.0,19.6,4,0,0.0,1,13.0
2020-12-13,Sergio Asenjo,Matchweek 13,Away,D 1–1,Villarreal,Betis,Y,GK,90,5,1,4,0.8,0,0.9,0,0,0,0,4,6,66.7,48,9,12.5,27.0,5,0.0,13.2,7,0,0.0,0,13.6
2020-12-19,Sergio Asenjo,Matchweek 14,Away,W 3–1,Villarreal,Osasuna,Y,GK,90,1,1,1,1.0,0,1.1,1,1,0,0,5,14,35.7,25,8,32.0,34.0,8,75.0,53.9,12,1,8.3,0,16.0
