Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Passes Completed,Total Passes Attempted,Total Pass Completion Percentage,Total Distance travelled by Passes,Progressive Distance,Short Passes Completed,Short Passes Attempted,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attempted,Long Passes Completion Percentage,Assists,Expected Assist,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Shot-Creating Action,Completed Live-Passes that lead to shot attempt,Completed Dead-Passes that lead to shot attempt,Successful Dribbles that lead to shot attempt,Shot that lead to another shot attempt,Fouls drawn that lead to shot attempt,Defensive Actions that lead to shot attempt,Goal-Creating Action,Completed Live-Passes that lead to Goal,Completed Dead-Passes that lead to Goal,Successful Dribbles that lead to Goal,Shot that lead to another Goal,Fouls drawn that lead to Goal,Defensive Actions that lead to Goal,Actions that lead to opponent scoring own goal,Number of players tackled,Tackles Won,Tackles won in Defensive Third,Tackles won in Midfield Third,Tackles won in Attack Third,Number of Dribblers tackled,Dribbles contested,Percentage of dribblers tackled,Number of times dribbled past,Pressures,Successful Pressures,Successful Pressure Percentage,Number of times applying pressures in Defensive third,Number of times applying pressures in Midfield third,Number of times applying pressures in Attacking third,Number of times blocking the ball by standing in its path,Number of times blocking a shot by standing in its path,"Number of times blocking a shot that was on target, by standing in its path",Number of times blocking a pass by standing in its path,Interceptions,Number of players tackled plus number of interceptions,Clearances,Errors leading to an opponent's shot,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Midfield Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Dribbles completed successfully,Dribbles attempted,Percentage of Dribbles completed successfully,Number of players dribbled past,Nutmegs,Carries,Total Distance Carried,Progressive Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received Percentage
2020-11-07,Nemanja Gudelj,Matchweek 9,Home,W 1–0,Sevilla,Osasuna,N,CM,2,3,3,100.0,58,0,2,2,100.0,0,0,,1,1,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,3,2,66.7,1,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,,0,0,1,1,0,0,0,0,0,0,1,1,100.0
2020-11-28,Nemanja Gudelj,Matchweek 11,Away,W 1–0,Sevilla,Huesca,N,LW,5,1,1,100.0,21,6,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,,0,0,1,9,9,1,1,0,0,0,2,2,100.0
2020-12-05,Nemanja Gudelj,Matchweek 12,Home,L 0–1,Sevilla,Real Madrid,N,"CM,CB",27,23,23,100.0,524,38,6,6,100.0,13,13,100.0,4,4,100.0,0,0.0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,1,25.0,1,3,0,0,0,0,0,0,0,0,0,24,0,2,20,7,0,23,0,0,,0,0,16,103,46,4,5,0,0,0,24,23,95.8
2020-12-12,Nemanja Gudelj,Matchweek 13,Away,W 1–0,Sevilla,Getafe,N,RW,7,2,2,100.0,36,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,1,0,0,0,0,0,0,3,1,1,2,0,0,3,0,0,,0,0,2,4,0,0,0,0,0,0,2,2,100.0
2020-12-19,Nemanja Gudelj,Matchweek 14,Home,D 1–1,Sevilla,Valladolid,N,RW,10,6,7,85.7,116,43,2,2,100.0,3,4,75.0,1,1,100.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,9,0,1,6,2,0,9,0,0,,0,0,4,9,5,1,0,0,1,0,6,6,100.0
2020-12-22,Nemanja Gudelj,Matchweek 15,Away,W 1–0,Sevilla,Valencia,N,AM,5,3,3,100.0,35,22,2,2,100.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,1,3,0,4,0,0,,0,0,2,5,3,0,0,0,0,0,3,2,66.7
2020-12-29,Nemanja Gudelj,Matchweek 16,Home,W 2–0,Sevilla,Villarreal,N,CM,3,2,2,100.0,30,28,1,1,100.0,1,1,100.0,0,0,,0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,2,0,0,,0,0,2,2,1,0,0,0,0,0,2,1,50.0
2021-01-02,Nemanja Gudelj,Matchweek 17,Away,D 1–1,Sevilla,Betis,Y,DM,90,46,50,92.0,831,130,16,18,88.9,28,28,100.0,2,4,50.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,100.0,0,15,6,40.0,6,5,4,2,2,0,0,3,5,5,0,62,4,26,38,2,0,60,0,0,,0,0,42,206,105,1,1,0,0,0,39,38,97.4
2021-01-19,Nemanja Gudelj,Matchweek 19,Away,W 2–1,Sevilla,Alavés,N,CM,13,2,3,66.7,12,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,6,1,4,2,1,0,6,0,0,,0,0,1,6,0,0,0,0,0,0,2,1,50.0
2021-01-23,Nemanja Gudelj,Matchweek 20,Home,W 3–0,Sevilla,Cádiz,N,DM,45,38,40,95.0,797,140,12,13,92.3,19,20,95.0,6,6,100.0,0,0.0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,2,50.0,0,4,0,0,0,0,0,0,0,1,1,44,2,20,25,2,0,42,0,0,,0,0,30,99,29,0,0,0,2,0,37,37,100.0
