Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
17/1/21,Kevin Trapp,Bundesliga,Matchweek 16,Home,W 3–1,Eint Frankfurt,Schalke 04,Y,GK,90,1,1,0,0,0,0.2,0,0,0,0,6,12,50,30,4,23.3,29.7,7,71.4,43.6,7,1,14.3,1,21
20/1/21,Kevin Trapp,Bundesliga,Matchweek 17,Away,D 2–2,Eint Frankfurt,Freiburg,Y,GK,90,4,2,2,50,0,1.5,0,0,0,0,7,19,36.8,33,4,45.5,37.3,9,44.4,40.7,8,0,0,0,14.6
23/1/21,Kevin Trapp,Bundesliga,Matchweek 18,Away,W 5–1,Eint Frankfurt,Arminia,Y,GK,90,4,1,3,75,0,0.7,0,0,0,0,3,8,37.5,29,5,27.6,30.1,2,0,34,9,2,22.2,0,5
30/1/21,Kevin Trapp,Bundesliga,Matchweek 19,Home,W 3–1,Eint Frankfurt,Hertha BSC,Y,GK,90,3,1,2,66.7,0,0.9,0,0,0,0,8,19,42.1,38,8,39.5,36.8,9,44.4,38.2,6,2,33.3,2,21.6
7/2/21,Kevin Trapp,Bundesliga,Matchweek 20,Away,W 3–1,Eint Frankfurt,Hoffenheim,Y,GK,90,1,1,0,0,0,0.9,0,0,0,0,6,17,35.3,29,3,48.3,39.1,9,33.3,34.2,3,0,0,0,6.3
14/2/21,Kevin Trapp,Bundesliga,Matchweek 21,Home,W 2–0,Eint Frankfurt,Köln,Y,GK,90,1,0,1,100,1,0,0,0,0,0,4,14,28.6,34,3,35.3,35.3,5,40,37.4,4,0,0,1,16.6
20/2/21,Kevin Trapp,Bundesliga,Matchweek 22,Home,W 2–1,Eint Frankfurt,Bayern Munich,Y,GK,90,6,1,5,83.3,0,1.7,0,0,0,0,15,35,42.9,32,5,71.9,51.8,18,66.7,55.1,15,1,6.7,1,15.4
26/2/21,Kevin Trapp,Bundesliga,Matchweek 23,Away,L 1–2,Eint Frankfurt,Werder Bremen,Y,GK,90,5,2,3,60,0,1.8,0,0,0,0,4,10,40,26,6,38.5,34,3,0,24.7,2,1,50,0,14.8
6/3/21,Kevin Trapp,Bundesliga,Matchweek 24,Home,D 1–1,Eint Frankfurt,Stuttgart,Y,GK,90,1,1,0,0,0,0.2,0,0,0,0,5,17,29.4,31,4,51.6,38.8,8,12.5,23.5,9,2,22.2,0,10.3
14/3/21,Kevin Trapp,Bundesliga,Matchweek 25,Away,D 1–1,Eint Frankfurt,RB Leipzig,Y,GK,90,8,1,7,87.5,0,1.5,0,0,0,0,11,32,34.4,45,9,60,42.6,6,83.3,65.5,10,1,10,3,15.8
